code,year,in_letter,out_warmth,n_sup,party_lr,vote_share,extremeness,bloc,fptp,tier,micro
DNK,2001,2,4.655939451873645,125.0,8.125799573560768,12.0,3.1257995735607675,right,0.0,True,0
DNK,2001,3,5.04540497016484,162.0,6.978757302177376,9.099999999999998,1.9787573021773763,right,0.0,True,0
DNK,2001,4,3.9176715318427178,146.0,2.7779569892473117,6.400000000000001,2.2220430107526883,left,0.0,True,0
DNK,2001,5,4.224215931045441,100.0,4.611725663716814,5.200000000000001,0.3882743362831862,center,0.0,True,0
DNK,2001,6,3.5474112558544264,41.0,1.4722222222222223,2.3999999999999995,3.5277777777777777,left,0.0,True,0
DNK,2007,0,4.4573348172516845,359.0,7.428350116189001,26.3,2.4283501161890007,right,0.0,True,0
DNK,2007,1,4.01011992238935,281.0,4.373831775700935,25.5,0.6261682242990654,center,0.0,True,0
DNK,2007,2,4.978072151649348,117.0,7.9984177215189876,13.900000000000004,2.9984177215189876,right,0.0,True,0
DNK,2007,3,4.027947012374704,239.0,2.9700078926598263,13.0,2.0299921073401737,left,0.0,True,0
DNK,2007,4,4.948058879201853,117.0,7.421591804570528,10.400000000000002,2.421591804570528,right,0.0,True,0
DNK,2007,5,4.55137738592517,88.0,4.622792937399679,5.1000000000000005,0.3772070626003208,center,0.0,True,0
DNK,2007,7,3.4867955839413236,33.0,1.398687448728466,2.1999999999999997,3.6013125512715343,left,0.0,True,0
DNK,2019,0,4.250843105531811,203.0,4.432454170078711,25.569999999999997,0.567545829921289,center,0.0,True,0
DNK,2019,1,3.956447968053793,211.0,6.791261246052906,23.090000000000003,1.7912612460529056,right,0.0,True,0
DNK,2019,2,4.680123474790956,69.0,7.182835925579733,8.620000000000001,2.1828359255797327,right,0.0,True,0
DNK,2019,3,4.729384623599563,120.0,4.4750531052321225,8.519999999999998,0.5249468947678775,center,0.0,True,0
DNK,2019,4,4.400783057471316,124.0,2.4129599557677244,7.610000000000001,2.5870400442322756,left,0.0,True,0
DNK,2019,5,3.7021274135238347,83.0,1.3012001195131968,6.85,3.698799880486803,left,0.0,True,0
DNK,2019,6,4.587800238130027,82.0,7.084400289400833,6.54,2.0844002894008327,right,0.0,True,0
DNK,2019,7,4.146799668285437,35.0,2.644389560570541,2.9099999999999993,2.355610439429459,left,0.0,True,0
ESP,1996,0,2.473954789568923,222.0,7.836252401630056,38.69999999999999,2.8362524016300563,right,0.0,True,0
ESP,1996,1,2.321826018564331,330.0,4.016096937552244,37.60000000000001,0.983903062447756,center,0.0,True,0
ESP,1996,2,3.0736911338755104,101.0,2.27918962410843,10.5,2.72081037589157,left,0.0,True,0
ESP,1996,3,3.6858851745738654,41.0,5.763656532100888,4.600000000000001,0.7636565321008879,center,0.0,True,0
ESP,2000,0,2.9085774557089614,305.0,7.109447767663317,45.19999999999999,2.109447767663317,right,0.0,True,0
ESP,2000,1,3.2734377512227404,213.0,3.706513545198292,34.69999999999999,1.293486454801708,left,0.0,True,0
ESP,2000,2,3.5106170683994398,61.0,2.2515019894803783,5.5,2.7484980105196217,left,0.0,True,0
ESP,2000,3,4.777571760453745,39.0,5.903922204230825,4.2,0.9039222042308248,center,0.0,True,0
ESP,2004,0,2.2683725922439373,405.0,3.2963730805123883,42.59,1.7036269194876117,left,0.0,True,0
ESP,2004,1,3.189504859605132,262.0,7.82149998512004,37.709999999999994,2.82149998512004,right,0.0,True,0
ESP,2004,2,3.9313098760911287,48.0,1.8626390148566074,4.96,3.137360985143393,left,0.0,True,0
ESP,2008,0,2.3461843400414115,450.0,3.0799146684418166,44.360000000000014,1.9200853315581834,left,0.0,True,0
ESP,2008,1,1.9544261477331233,291.0,7.738570876207332,40.38999999999999,2.7385708762073318,right,0.0,True,0
ESP,2008,5,3.2874472331712945,50.0,1.6088447121641973,3.81,3.3911552878358027,left,0.0,True,0
EST,2011,0,3.9949896129607145,130.0,7.728792914500607,28.6,2.728792914500607,right,0.0,True,0
EST,2011,1,2.608056951357319,180.0,3.2149507957805032,23.30000000000001,1.7850492042194968,left,0.0,True,0
EST,2011,2,4.629133185960948,111.0,6.99127062220244,20.5,1.9912706222024399,right,0.0,True,0
EST,2011,3,4.092829858050264,124.0,4.675745059741509,17.099999999999994,0.32425494025849133,center,0.0,True,0
EST,2011,5,4.323943104202618,36.0,4.920974620415804,3.8000000000000003,0.07902537958419575,center,0.0,True,0
FIN,2003,0,4.249571211087541,164.0,6.191163210099188,24.699999999999996,1.1911632100991882,right,0.0,True,0
FIN,2003,1,4.191094731410096,216.0,4.72579185520362,24.5,0.27420814479638,center,0.0,True,0
FIN,2003,2,4.437676972039861,112.0,7.464711274060495,18.599999999999994,2.4647112740604946,right,0.0,True,0
FIN,2003,3,4.118112299381186,67.0,2.3405797101449277,9.9,2.6594202898550723,left,0.0,True,0
FIN,2003,4,4.704852449109704,86.0,4.74412041392286,8.0,0.2558795860771399,center,0.0,True,0
FIN,2003,5,4.851034370555644,56.0,5.8451369216241735,5.299999999999999,0.8451369216241735,center,0.0,True,0
FIN,2003,6,4.83503905728885,66.0,6.102955195424213,4.6,1.1029551954242134,right,0.0,True,0
FIN,2007,0,4.954005401199648,196.0,6.5661764705882355,23.110000000000003,1.5661764705882355,right,0.0,True,0
FIN,2007,1,4.743122163286798,188.0,7.981069958847737,22.259999999999994,2.981069958847737,right,0.0,True,0
