state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
32,NV,LIB_1,LIB,10.54,0.0,2.95,0.74,0.0,0.0,0.0,0.0,6.65,0.0
32,NV,POP_1,POP,13.63,2.35,0.0,3.08,0.0,0.0,0.0,0.0,0.0,5.65
33,NH,CON_1,CON,12.36,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,2.81
33,NH,LBR_1,LBR,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,LIB_1,LIB,10.03,0.0,0.0,1.1,0.0,0.0,6.59,0.0,0.0,0.0
33,NH,POP_1,POP,7.53,1.04,0.0,5.08,0.0,0.0,0.0,0.0,0.0,4.06
33,NH,PRG_1,PRG,11.31,0.0,14.46,0.0,0.87,0.0,4.65,0.0,0.0,0.0
34,NJ,CON_1,CON,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NJ,CUP_1,CUP,8.39,0.0,3.06,0.0,1.67,6.74,0.0,0.58,0.0,1.34
34,NJ,LBR_1,LBR,15.46,0.0,0.0,0.0,0.0,0.0,5.78,0.0,0.59,0.0
34,NJ,LIB_1,LIB,13.86,0.0,3.19,0.0,0.0,0.0,0.0,1.83,9.31,0.0
34,NJ,POP_1,POP,10.52,0.8,1.21,0.0,0.0,0.0,0.0,1.68,0.0,9.2
35,NM,CON_1,CON,18.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_1,LBR,28.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_2,LBR,0.0,0.0,0.0,15.15,0.66,0.0,4.24,11.07,0.0,0.0
35,NM,LIB_1,LIB,9.49,0.0,0.96,0.0,0.0,0.0,0.0,0.0,7.23,0.0
35,NM,POP_1,POP,9.62,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06
36,NY,CON_1,CON,15.99,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,4.9
36,NY,CUP_1,CUP,7.97,1.14,2.63,0.0,8.83,2.61,0.0,0.0,0.0,0.0
36,NY,LBR_1,LBR,18.74,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,NY,LIB_1,LIB,12.16,0.0,1.68,0.0,0.0,0.62,3.0,0.0,9.57,0.0
36,NY,POP_1,POP,11.93,2.9,0.0,0.0,0.0,0.0,3.73,0.62,0.0,3.34
37,NC,CON_1,CON,23.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.96
37,NC,CUP_1,CUP,7.76,1.58,8.6,0.0,0.67,0.0,0.0,0.0,0.0,0.0
37,NC,LBR_1,LBR,14.98,0.0,0.0,0.0,0.0,0.0,5.24,0.0,0.0,0.0
37,NC,LIB_1,LIB,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.96,7.72,0.0
37,NC,POP_1,POP,12.5,3.56,0.0,0.0,0.0,0.0,0.0,1.66,0.0,3.33
38,ND,CON_1,CON,23.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,13.95,3.65,2.06,0.0,1.55,0.0,0.0,0.0,0.0,0.0
38,ND,LBR_1,LBR,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,LIB_1,LIB,9.06,0.0,2.62,0.0,0.0,0.0,2.43,0.52,5.04,0.0
38,ND,POP_1,POP,15.45,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CON_1,CON,23.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.66
39,OH,CUP_1,CUP,10.27,3.6,2.58,0.0,0.0,1.57,0.0,0.54,0.0,0.0
39,OH,LBR_1,LBR,14.49,0.0,1.03,0.0,0.0,0.0,6.01,0.0,0.0,0.0
39,OH,LIB_1,LIB,9.76,0.0,0.93,1.23,0.0,0.0,1.17,1.51,3.19,0.0
39,OH,POP_1,POP,13.15,3.66,0.0,0.0,0.0,0.0,0.0,2.41,0.0,1.54
40,OK,CON_1,CON,23.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,10.71,3.96,3.86,0.0,1.63,0.0,0.0,0.0,0.0,0.0
40,OK,LBR_1,LBR,11.89,0.0,0.0,0.0,11.05,0.0,6.11,0.0,0.0,0.0
40,OK,NAT_1,NAT,17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,12.26,4.51,0.0,1.47,0.0,0.0,0.0,0.82,0.0,0.0
41,OR,CON_1,CON,12.68,0.0,0.68,3.19,0.0,6.48,0.0,0.0,0.0,0.0
41,OR,DSA_1,DSA,9.95,0.0,0.0,0.0,0.0,0.0,0.0,2.96,16.28,3.52
41,OR,LBR_1,LBR,14.22,3.55,0.0,1.54,0.0,1.34,0.0,0.0,0.0,0.0
41,OR,LIB_1,LIB,15.15,0.0,1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,OR,NAT_1,NAT,15.21,2.65,0.0,0.0,0.0,1.51,0.0,0.98,0.0,0.0
42,PA,CON_1,CON,21.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85
42,PA,CUP_1,CUP,6.56,0.97,5.35,0.0,0.0,0.0,0.0,0.0,9.33,0.0
42,PA,LBR_1,LBR,16.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,PA,LIB_1,LIB,13.99,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0
42,PA,POP_1,POP,9.21,3.03,1.88,0.0,0.0,0.0,2.74,0.0,0.0,4.27
44,RI,CON_1,CON,16.74,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LBR_1,LBR,17.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,LIB_1,LIB,16.87,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0
44,RI,OAO_1,OAO,6.58,0.0,0.0,1.22,0.0,3.74,3.46,0.0,14.93,0.0
44,RI,POP_1,POP,13.1,0.0,0.0,0.72,0.94,0.0,0.0,0.0,0.0,6.38
45,SC,CON_1,CON,23.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
45,SC,CUP_1,CUP,7.29,2.74,2.58,0.0,2.6,0.0,2.52,0.0,0.0,0.0
45,SC,LBR_1,LBR,20.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SC,LIB_1,LIB,8.52,0.0,0.63,0.0,0.0,0.0,7.86,0.83,1.26,0.0
45,SC,POP_1,POP,11.22,4.74,0.0,0.0,0.0,0.0,0.0,1.13,0.0,2.61
46,SD,CON_1,CON,19.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SD,CUP_1,CUP,12.56,0.6,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
